jec,t,label_occ,horizon,occ_now,occ_prev,occ_2ago,approaching,queue_len,intent_count,downstream_occ,demand_factor,blockage_active,recent_blockages,resv_active
JEC-J03,1.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,2.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,3.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,4.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,5.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,6.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,7.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,8.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,9.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,11.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,12.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,13.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,14.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,15.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,16.5,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,17.6,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,18.7,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,19.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.13,0.0,0.0,1.0
JEC-J03,20.9,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.13,0.0,0.0,1.0
JEC-J03,22.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.13,0.0,0.0,2.0
JEC-J03,23.1,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,24.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,25.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,26.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,27.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,28.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,29.7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,30.8,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,31.9,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,33.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,34.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,35.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,36.3,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,37.4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,38.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,39.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,40.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,41.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,42.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,44.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,45.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,46.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,47.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,48.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,49.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,50.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,51.7,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,52.8,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,53.9,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,0.0
JEC-J03,55.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.03,0.0,0.0,1.0
JEC-J03,56.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.13,0.0,0.0,1.0
JEC-J03,57.2,0.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.13,0.0,0.0,2.0
JEC-J03,58.3,0.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.13,0.0,0.0,2.0
JEC-J03,59.4,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,60.5,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,61.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,62.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,63.8,1.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,64.9,1.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,66.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,67.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,1.0
JEC-J03,68.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,1.0
JEC-J03,69.3,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,2.0
JEC-J03,70.4,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,71.5,0.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,72.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,73.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.13,0.0,0.0,0.0
JEC-J03,74.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,75.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,77.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,78.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,79.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,80.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,81.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,82.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,83.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,84.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,85.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,86.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,88.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,89.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,90.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,91.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,92.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,93.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,94.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.13,0.0,0.0,0.0
JEC-J03,95.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
JEC-J03,96.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
JEC-J03,97.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
JEC-J03,99.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
JEC-J03,100.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,101.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,102.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,103.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,104.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,105.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,106.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,107.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,108.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,110.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,111.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,112.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,113.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,114.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,115.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,116.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,117.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,118.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,119.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,121.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,122.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,123.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,124.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,125.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,126.5,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,127.6,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,128.7,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,129.8,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,130.9,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,132.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,133.1,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,134.2,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,135.3,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,136.4,0.0,5.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
JEC-J03,137.5,0.0,5.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,1.06,0.0,0.0,0.0
