mode,mode_label,seed,scenario,tag,tasks_done,tasks_per_hour,tasks_failed,tasks_reassigned,mean_wait_s,p95_wait_s,max_wait_s,total_distance_m,energy_j,vetoes,replans,collisions,near_misses,deadlocks,stalled_robots,mean_queue_len,reservation_grants,reservation_denials,jec_utilization,messages_per_s,bytes_per_s,conflict_cells_formed,wall_s
STOP_AND_WAIT,A: stop-and-wait,7,baseline,baseline,3,54.0,0,0,6.77,10.6,11.4,380.6,735.9,51,409,0,0,0,7,0.0,0,0,0.0,26.9,16194.0,0,2.87
STOP_AND_WAIT,A: stop-and-wait,42,baseline,baseline,3,54.0,0,0,9.61,18.5,33.5,390.0,738.3,66,446,0,0,1,7,0.0,0,0,0.0,24.5,16019.0,0,2.77
STOP_AND_WAIT,A: stop-and-wait,99,baseline,baseline,2,36.0,0,0,11.24,20.1,20.1,299.7,751.5,40,415,0,2,0,8,0.0,0,0,0.0,23.9,15729.9,0,2.68
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,7,baseline,baseline,3,54.0,0,0,8.33,13.7,20.8,448.8,662.8,78,81,1,15,0,6,0.0,0,0,0.0,24.8,15105.6,0,2.87
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,42,baseline,baseline,5,90.0,0,0,6.67,12.9,15.5,454.3,697.4,59,383,0,2,0,8,0.0,0,0,0.0,24.2,15849.5,0,2.8
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,99,baseline,baseline,5,90.0,0,0,7.71,16.3,18.4,573.9,688.7,97,289,3,13,0,7,0.0,0,0,0.0,24.0,15649.8,0,3.12
INTENT_P2P,C: intent P2P,7,baseline,baseline,5,90.0,0,0,9.3,23.5,34.0,542.4,736.4,82,189,0,12,1,7,0.0,0,0,0.0,55.6,27373.6,36,4.49
INTENT_P2P,C: intent P2P,42,baseline,baseline,5,90.0,0,0,7.68,11.3,52.1,406.4,676.0,57,475,0,2,1,8,0.0,0,0,0.0,59.1,29159.3,28,4.66
INTENT_P2P,C: intent P2P,99,baseline,baseline,7,126.0,0,0,13.03,63.6,87.3,604.5,706.8,83,35,1,14,5,4,0.0,0,0,0.0,68.7,30258.0,60,5.37
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,baseline,3,54.0,0,0,6.99,11.6,11.6,442.8,618.1,56,572,2,17,0,5,2.35,346,482,0.316,113.7,58480.4,34,11.22
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,baseline,4,72.0,0,0,5.2,12.5,12.5,442.6,606.9,49,1087,0,2,0,7,1.59,247,327,0.305,109.0,54385.2,26,10.74
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,99,baseline,baseline,5,90.0,0,0,6.22,16.5,24.7,503.2,667.7,78,737,3,16,0,7,0.87,354,177,0.228,91.5,54001.9,43,9.75
STOP_AND_WAIT,A: stop-and-wait,7,surge,surge,0,0.0,0,0,9.93,20.1,20.1,329.7,791.3,81,504,2,2,0,6,0.0,0,0,0.0,24.0,16256.2,0,3.37
STOP_AND_WAIT,A: stop-and-wait,42,surge,surge,0,0.0,0,0,7.98,10.8,13.5,255.7,723.7,75,403,0,0,0,6,0.0,0,0,0.0,23.2,15832.9,0,3.29
STOP_AND_WAIT,A: stop-and-wait,99,surge,surge,0,0.0,0,0,8.16,17.8,20.0,221.4,675.2,59,759,4,4,0,9,0.0,0,0,0.0,24.7,17258.9,0,3.63
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,7,surge,surge,1,18.0,0,0,12.96,69.7,82.8,363.0,631.5,76,118,1,12,3,7,0.0,0,0,0.0,22.1,14878.4,0,3.38
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,42,surge,surge,3,54.0,0,0,7.11,14.4,17.5,566.3,674.6,78,22,0,10,0,6,0.0,0,0,0.0,21.6,14576.0,0,2.98
SHORTEST_PATH_REACTIVE,B: shortest-path reactive,99,surge,surge,1,18.0,0,0,7.93,11.2,11.5,317.7,683.8,73,533,0,0,0,6,0.0,0,0,0.0,23.8,16513.8,0,3.26
INTENT_P2P,C: intent P2P,7,surge,surge,0,0.0,0,0,8.98,14.3,49.2,307.0,575.0,70,54,2,8,1,6,0.0,0,0,0.0,84.8,35743.0,43,6.21
INTENT_P2P,C: intent P2P,42,surge,surge,4,72.0,0,0,7.85,13.5,69.8,529.1,701.8,95,158,1,14,1,6,0.0,0,0,0.0,57.5,29190.1,48,5.02
INTENT_P2P,C: intent P2P,99,surge,surge,0,0.0,0,0,12.6,77.7,80.2,234.8,616.2,58,601,0,2,2,7,0.0,0,0,0.0,72.3,33781.5,26,5.82
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,surge,surge,4,72.0,0,0,5.93,15.3,15.3,591.6,687.8,94,843,2,17,0,5,3.59,437,735,0.451,130.0,69439.6,30,13.2
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,surge,surge,3,54.0,0,0,21.16,97.0,103.5,458.2,665.6,53,584,1,9,4,5,0.04,462,10,0.392,103.8,55984.5,27,11.4
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,99,surge,surge,4,72.0,0,0,9.49,46.2,66.5,520.8,642.0,58,1343,0,2,2,5,3.31,289,673,0.354,118.9,60989.9,10,12.51
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,jec-kill,2,36.0,0,2,6.8,13.0,13.3,372.3,557.4,53,392,1,14,0,6,2.44,179,485,0.331,98.3,46839.4,32,9.42
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,jec-kill,4,72.0,0,0,5.2,12.5,12.5,442.6,606.9,49,1087,0,2,0,7,1.59,247,327,0.305,109.0,54385.2,26,10.71
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,robot-fail,2,36.0,0,0,6.72,13.2,13.2,349.2,579.1,52,409,0,13,0,5,2.18,260,448,0.263,113.0,56127.6,31,10.51
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,robot-fail,4,72.0,0,0,5.2,12.5,12.5,442.6,606.9,49,1087,0,2,0,7,1.59,247,327,0.305,109.0,54385.2,26,10.64
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,7,baseline,network-degraded,3,54.0,0,0,8.59,23.3,79.8,471.3,689.3,75,383,0,10,1,3,1.56,581,317,0.312,111.7,60755.8,32,10.39
FULL_DISTRIBUTED_PREDICTIVE,D: full distributed predictive,42,baseline,network-degraded,4,72.0,0,0,7.12,30.8,30.8,570.8,667.3,44,470,0,5,1,5,0.02,137,3,0.265,69.7,37561.5,21,7.77
